SalmGenRowID,FishTagID,BestEstimate,Prob1,2ndBestEstimate,Prob2,Comments
1934,2019Ad_plus-F_097,F,0.954699993,LF,0.045299999,
1918,2019Ad_plus-F_098,F,0.9727,LF,0.0273,
2017,2019Ad_plus-F_099,F,0.523400009,LF,0.476500005,
1971,2019Ad_plus-F_100,LF,0.832499981,F,0.167500004,
1933,2019Ad_plus-F_101,F,0.957400024,LF,0.042599998,
1981,2019Ad_plus-F_102,LF,0.773199975,F,0.226799995,
1940,2019Ad_plus-F_103,F,0.944500029,LF,0.055500001,
1997,2019Ad_plus-F_104,F,0.663200021,LF,0.336800009,
1985,2019Ad_plus-F_105,LF,0.756299973,F,0.243699998,
1947,2019Ad_plus-F_106,F,0.936200023,LF,0.0638,
1965,2019Ad_plus-F_107,F,0.869199991,LF,0.130700007,
1885,2019Ad_plus-F_108,F,0.991599977,,0,
1862,2019Ad_plus-F_109,LF,0.999000013,,0,
2008,2019Ad_plus-F_110,F,0.565999985,LF,0.433999985,
1973,2019Ad_plus-F_111,F,0.8204,LF,0.1796,
1893,2019Ad_plus-F_112,F,0.988699973,LF,0.0113,
1942,2019Ad_plus-F_113,F,0.943700016,LF,0.056299999,
1959,2019Ad_plus-F_114,LF,0.899900019,F,0.100100003,
2082,2019Ad_plus-F_115,,0,,0,CODEUNK
2002,2019Ad_plus-F_116,LF,0.619099975,S,0.243200004,3rd: Fall - 0.1377
1988,2019Ad_plus-F_117,F,0.728500009,LF,0.271499991,
2005,2019Ad_plus-F_118,LF,0.604799986,F,0.395200014,
1975,2019Ad_plus-F_119,LF,0.806699991,F,0.193299994,
2010,2019Ad_plus-F_120,LF,0.563600004,F,0.436100006,
1855,2019Ad_plus-F_121,F,0.999499977,,0,
1925,2019Ad_plus-F_122,F,0.9648,LF,0.0352,
2019,2019Ad_plus-F_123,LF,0.508300006,F,0.490799993,
1903,2019Ad_plus-F_124,LF,0.984499991,F,0.0155,
1904,2019Ad_plus-F_125,F,0.984000027,LF,0.016000001,
1970,2019Ad_plus-F_126,LF,0.836499989,F,0.163499996,
1872,2019Ad_plus-F_127,F,0.997099996,,0,
1889,2019Ad_plus-F_128,F,0.990800023,,0,
2014,2019Ad_plus-F_129,LF,0.54549998,F,0.45449999,
1986,2019Ad_plus-F_130,F,0.743799984,LF,0.256199986,
1901,2019Ad_plus-F_131,LF,0.984700024,F,0.0127,
1953,2019Ad_plus-F_132,F,0.913900018,LF,0.086000003,
1896,2019Ad_plus-F_133,LF,0.987900019,F,0.0115,
1939,2019Ad_plus-F_134,F,0.949699998,LF,0.050299998,
1960,2019Ad_plus-F_135,F,0.893400013,LF,0.106600001,
1863,2019Ad_plus-F_136,F,0.999000013,,0,
1951,2019Ad_plus-F_137,F,0.922999978,LF,0.077,
1905,2019Ad_plus-F_138,F,0.983099997,LF,0.016899999,
1957,2019Ad_plus-F_139,F,0.899999976,LF,0.100000001,
2016,2019Ad_plus-F_140,LF,0.524600029,F,0.475400001,
1922,2019Ad_plus-F_141,F,0.968299985,LF,0.031599998,
1881,2019Ad_plus-F_142,F,0.993300021,,0,
1968,2019Ad_plus-F_143,LF,0.846700013,F,0.152500004,
1969,2019Ad_plus-F_144,F,0.838100016,LF,0.161899999,
2015,2019Ad_plus-F_145,F,0.541700006,LF,0.458299994,
1906,2019Ad_plus-F_146,F,0.981899977,LF,0.018100001,
1931,2019Ad_plus-F_147,F,0.958400011,LF,0.0416,
1860,2019Ad_plus-F_148,F,0.999100029,,0,
1956,2019Ad_plus-F_149,F,0.904200017,LF,0.095799997,
1836,2019Ad_plus-F_150,F,1,,0,
1865,2019Ad_plus-F_151,F,0.99849999,,0,
1876,2019Ad_plus-F_152,F,0.996399999,,0,
1943,2019Ad_plus-F_153,F,0.939800024,LF,0.0601,
1977,2019Ad_plus-F_154,F,0.802100003,LF,0.197799996,
1837,2019Ad_plus-F_155,F,1,,0,
1950,2019Ad_plus-F_156,F,0.925000012,LF,0.0691,
2000,2019Ad_plus-F_157,LF,0.642099977,F,0.357899994,
1991,2019Ad_plus-F_158,F,0.689599991,LF,0.310400009,
1898,2019Ad_plus-F_159,F,0.987399995,LF,0.0126,
1967,2019Ad_plus-F_160,F,0.858900011,LF,0.141100004,
1861,2019Ad_plus-F_161,F,0.999100029,,0,
1987,2019Ad_plus-F_162,LF,0.741999984,F,0.257999986,
1849,2019Ad_plus-F_163,F,0.999800026,,0,
1994,2019Ad_plus-F_164,F,0.683499992,LF,0.316500008,
1902,2019Ad_plus-F_165,LF,0.984600008,F,0.0154,
1990,2019Ad_plus-F_166,LF,0.714399993,F,0.285600007,
1978,2019Ad_plus-F_167,F,0.786899984,LF,0.213100001,
2012,2019Ad_plus-F_168,LF,0.555800021,F,0.444200009,
1935,2019Ad_plus-F_169,F,0.953700006,LF,0.046300001,
1982,2019Ad_plus-F_170,F,0.767199993,S,0.232500002,
1845,2019Ad_plus-F_171,F,0.999899983,,0,
1926,2019Ad_plus-F_172,F,0.964600027,LF,0.035399999,
1929,2019Ad_plus-F_173,F,0.962899983,LF,0.037099998,
1923,2019Ad_plus-F_174,F,0.968100011,LF,0.0319,
2011,2019Ad_plus-F_175,LF,0.559300005,F,0.440699995,
1980,2019Ad_plus-F_176,F,0.781400025,LF,0.218600005,
1983,2019Ad_plus-F_177,F,0.757799983,LF,0.242200002,
2004,2019Ad_plus-F_178,LF,0.612200022,F,0.387600005,
1964,2019Ad_plus-F_179,F,0.871100008,LF,0.128900006,
1958,2019Ad_plus-F_180,LF,0.899999976,F,0.094700001,
1873,2019Ad_plus-F_181,F,0.996900022,,0,
1867,2019Ad_plus-F_182,F,0.998300016,,0,
1993,2019Ad_plus-F_183,F,0.684400022,LF,0.315600008,
2003,2019Ad_plus-F_184,F,0.617299974,LF,0.381700009,
1838,2019Ad_plus-F_185,F,1,,0,
1941,2019Ad_plus-F_186,F,0.944500029,LF,0.055500001,
1952,2019Ad_plus-F_187,F,0.920799971,LF,0.0792,
1974,2019Ad_plus-F_188,LF,0.807200015,F,0.1928,
1846,2019Ad_plus-F_189,F,0.999899983,,0,
1839,2019Ad_plus-F_190,F,1,,0,
1907,2019Ad_plus-F_191,F,0.979600012,LF,0.020400001,
2007,2019Ad_plus-F_192,F,0.566600025,LF,0.433400005,
1944,2019Ad_plus-F_193,F,0.93809998,LF,0.061900001,
1897,2019Ad_plus-F_194,F,0.987900019,LF,0.0121,
1999,2019Ad_plus-F_195,F,0.645299971,LF,0.354499996,
1976,2019Ad_plus-F_196,LF,0.80250001,F,0.197500005,
1884,2019Ad_plus-F_197,F,0.991900027,,0,
1900,2019Ad_plus-F_198,F,0.985700011,LF,0.0143,
1917,2019Ad_plus-F_199,F,0.973200023,LF,0.026799999,
1919,2019Ad_plus-F_200,F,0.9727,LF,0.0273,
1995,2019Ad_plus-F_201,F,0.683399975,LF,0.316300005,
1961,2019Ad_plus-F_202,F,0.891300023,LF,0.1087,
1914,2019Ad_plus-F_203,F,0.973800004,LF,0.0262,
1924,2019Ad_plus-F_204,F,0.968100011,LF,0.0319,
1938,2019Ad_plus-F_205,F,0.951600015,LF,0.046599999,
1840,2019Ad_plus-F_206,F,1,,0,
1859,2019Ad_plus-F_207,LF,0.999199986,,0,
1915,2019Ad_plus-F_208,F,0.973800004,LF,0.0262,
1841,2019Ad_plus-F_209,F,1,,0,
1930,2019Ad_plus-F_210,F,0.959200025,LF,0.037300002,
1891,2019Ad_plus-F_211,LF,0.989799976,F,0.0102,
1899,2019Ad_plus-F_212,F,0.985899985,LF,0.0141,
1966,2019Ad_plus-F_213,LF,0.868600011,F,0.131400004,
1984,2019Ad_plus-F_214,F,0.756500006,LF,0.243499994,
1979,2019Ad_plus-F_215,F,0.782800019,S,0.215900004,
1886,2019Ad_plus-F_216,F,0.991100013,,0,
1916,2019Ad_plus-F_217,F,0.973699987,LF,0.0263,
1887,2019Ad_plus-F_218,F,0.991100013,,0,
1927,2019Ad_plus-F_219,LF,0.96390003,F,0.0361,
1963,2019Ad_plus-F_220,F,0.874499977,LF,0.125499994,
1883,2019Ad_plus-F_221,F,0.992600024,,0,
1892,2019Ad_plus-F_222,F,0.989400029,S,0.0105,
2006,2019Ad_plus-F_223,LF,0.577799976,F,0.421999991,
1989,2019Ad_plus-F_224,F,0.725399971,LF,0.274599999,
1851,2019Ad_plus-F_225,F,0.999599993,,0,
1890,2019Ad_plus-F_226,F,0.9903,,0,
2083,2019Ad_plus-F_227,,0,,0,CODEUNK
1866,2019Ad_plus-F_228,F,0.998399973,,0,
1857,2019Ad_plus-F_229,F,0.99940002,,0,
1949,2019Ad_plus-F_230,LF,0.92930001,F,0.070699997,
1868,2019Ad_plus-F_231,F,0.998199999,,0,
1928,2019Ad_plus-F_232,F,0.96390003,LF,0.0361,
1955,2019Ad_plus-F_233,F,0.908299983,LF,0.091700003,
1842,2019Ad_plus-F_234,F,1,,0,
1871,2019Ad_plus-F_236,F,0.997500002,,0,
1912,2019Ad_plus-F_237,F,0.975300014,S,0.0195,
1852,2019Ad_plus-F_238,F,0.999599993,,0,
1972,2019Ad_plus-F_239,F,0.827199996,LF,0.172800004,
1998,2019Ad_plus-F_240,F,0.649600029,LF,0.350400001,
1962,2019Ad_plus-F_241,F,0.884199977,LF,0.115500003,
1870,2019Ad_plus-F_242,F,0.997900009,,0,
1992,2019Ad_plus-F_243,F,0.687900007,LF,0.312099993,
1864,2019Ad_plus-F_244,F,0.99879998,,0,
1874,2019Ad_plus-F_245,F,0.996800005,,0,
1948,2019Ad_plus-F_246,F,0.935400009,LF,0.064599998,
1853,2019Ad_plus-F_247,F,0.999599993,,0,
1996,2019Ad_plus-F_248,LF,0.677299976,F,0.322699994,
1856,2019Ad_plus-F_249,F,0.999499977,,0,
1847,2019Ad_plus-F_250,F,0.999899983,,0,
1945,2019Ad_plus-F_251,LF,0.936600029,F,0.0634,
1854,2019Ad_plus-F_252,F,0.999599993,,0,
1882,2019Ad_plus-F_253,F,0.992999971,,0,
1880,2019Ad_plus-F_254,F,0.993900001,,0,
1858,2019Ad_plus-F_255,F,0.99940002,,0,
1869,2019Ad_plus-F_256,F,0.998199999,,0,
1913,2019Ad_plus-F_257,F,0.974399984,LF,0.025599999,
1954,2019Ad_plus-F_258,LF,0.912599981,F,0.087399997,
2009,2019Ad_plus-F_259,F,0.564700007,LF,0.435200006,
1910,2019Ad_plus-F_260,LF,0.976700008,F,0.0233,
2084,2019Ad_plus-F_261,,0,,0,CODEUNK
1937,2019Ad_plus-F_262,F,0.953000009,LF,0.046999998,
1843,2019Ad_plus-F_263,F,1,,0,
1894,2019Ad_plus-F_264,F,0.988300025,LF,0.0117,
1908,2019Ad_plus-F_265,F,0.978399992,LF,0.021600001,
1909,2019Ad_plus-F_266,F,0.976999998,LF,0.023,
1911,2019Ad_plus-F_267,F,0.976499975,LF,0.023499999,
1877,2019Ad_plus-F_268,F,0.996399999,,0,
1850,2019Ad_plus-F_269,F,0.999800026,,0,
1920,2019Ad_plus-F_270,LF,0.971400023,F,0.0286,
2013,2019Ad_plus-F_271,F,0.548699975,LF,0.451299995,
2018,2019Ad_plus-F_272,F,0.516499996,LF,0.4833,
1936,2019Ad_plus-F_273,S,0.953299999,F,0.046599999,
1946,2019Ad_plus-F_274,F,0.936600029,LF,0.0634,
1888,2019Ad_plus-F_275,F,0.990999997,,0,
2001,2019Ad_plus-F_276,LF,0.631699979,F,0.368299991,
1895,2019Ad_plus-F_277,F,0.987999976,LF,0.012,
1875,2019Ad_plus-F_278,F,0.996500015,,0,
1844,2019Ad_plus-F_279,F,1,,0,
1932,2019Ad_plus-F_281,F,0.957799971,LF,0.042199999,
1878,2019Ad_plus-F_282,F,0.994799972,,0,
